serial,acronym,current_price,timestamp,market_cap,total_shares,stock_id,name,acronym,benefit_description,benefit_requirement
24290,IIL,86.05,1618507200,1559448795239,18122589137,14,I Industries Ltd.,IIL,50% Coding Time Reduction,1000000
24291,TCM,304.89,1618507200,540489534835,1772736183,20,Torn City Motors,TCM,10% Racing Skill Boost,1000000
24292,TCP,273.17,1618507200,1214480933337,4445879611,13,TC Media Productions,TCP,a Company Sales Boost,1000000
24293,WSU,64.87,1618507200,3613149026927,55698304716,25,West Side University,WSU,a 10% Education Course Duration Reduction,1000000
24294,BAG,422.1,1618507200,2890747496461,6848489686,27,Big Al's Gun Shop,BAG,1x Ammunition Pack,3000000
24295,EVL,370.97,1618507200,2074126867269,5591090566,28,Evil Ducks Candy Corp,EVL,1000 Happiness every week,100000
24296,WLT,451.26,1618507200,13131478111581,29099583636,30,Wind Lines Travel,WLT,Private Jet Access,9000000
24297,IOU,142.55,1618507200,3591074971016,25191686924,5,Insured On Us,IOU,"$12,000,000 every month",3000000
24298,THS,328.88,1618507200,4282427558129,13021246528,7,Torn City Health Service,THS,1x Box of Medical Supplies every week,150000
24299,LSC,374.29,1618507200,2969237816143,7932987299,17,Lucky Shots Casino,LSC,1x Lottery Voucher every week,500000
24300,MCS,587.56,1618507200,11068087834665,18837374625,29,Mc Smoogle Corp,MCS,100 Energy every week,350000
24721,SYS,475.42,1618508100,2719714246044,5720655938,3,Syscore MFG,SYS,an Advanced Firewall,3000000
24722,EWM,269.05,1618508100,1667445573223,6197530471,19,Eaglewood Mercenary,EWM,1x Box of Grenades every week,1000000
24723,MCS,588.52,1618508100,11035652886786,18751534165,29,Mc Smoogle Corp,MCS,100 Energy every week,350000
24724,WLT,450.85,1618508100,13522908050275,29994250971,30,Wind Lines Travel,WLT,Private Jet Access,9000000
24725,IOU,142.64,1618508100,3594400634319,25199107083,5,Insured On Us,IOU,"$12,000,000 every month",3000000
24726,GRN,216.68,1618508100,1685281310771,7777742804,6,Grain,GRN,"$4,000,000 every month",500000
24727,TCT,227.71,1618508100,426781906799,1874234363,9,The Torn City Times,TCT,"$1,000,000 every month",100000
24728,EVL,370.83,1618508100,2067960975728,5576574106,28,Evil Ducks Candy Corp,EVL,1000 Happiness every week,100000
24729,TCC,302.88,1618508100,1542243231086,5091928259,31,Torn City Clothing,TCC,1x Clothing Cache,7500000
24730,LAG,300.93,1618508100,1831364470837,6085682620,4,Legal Authorities Group,LAG,1x Lawyer Business Card every week,750000
24731,MSG,154.25,1618508100,1888512931326,12243195665,11,Messaging Inc.,MSG,Free Classified Advertising,300000
24732,ELT,181.75,1618508100,1230321861132,6769308727,21,Empty Lunchbox Traders,ELT,10% Home Upgrade Discount,5000000
24733,FHG,569.32,1618508100,22098889561820,38816288839,15,Feathery Hotels Group,FHG,1x Feathery Hotel Coupon every week,2000000
24734,HRG,209.26,1618508100,8853713154339,42309629907,22,Home Retail Group,HRG,1x Random Property,10000000
24735,IST,314.88,1618508100,265975676413,844689013,26,International School TC,IST,Free Education Courses,100000
24736,THS,329.24,1618508100,4258416150535,12934078941,7,Torn City Health Service,THS,1x Box of Medical Supplies every week,150000
24737,YAZ,36.25,1618508100,1994685445206,55025805385,8,Yazoo,YAZ,Free Banner Advertising,1000000
24738,CNC,671.62,1618508100,2993213196695,4456706466,10,Crude & Co,CNC,"$80,000,000 every month",7500000
24739,TSB,818.17,1618508100,9250578293697,11306425674,1,Torn & Shanghai Banking,TSB,"$50,000,000 every month",3000000
24740,TCM,305.04,1618508100,540755445262,1772736183,20,Torn City Motors,TCM,10% Racing Skill Boost,1000000
24741,TGP,89.36,1618508100,1540116165716,17234961568,23,Tell Group Plc.,TGP,a Company Advertising Boost,2500000
24742,TMI,153.17,1618508100,5351648902776,34939275986,12,TC Music Industries,TMI,"$25,000,000 every month",6000000
24743,TCP,271.48,1618508100,1206972554914,4445898611,13,TC Media Productions,TCP,a Company Sales Boost,1000000
24744,IIL,86.08,1618508100,1560069195070,18123480426,14,I Industries Ltd.,IIL,50% Coding Time Reduction,1000000
24745,LSC,374.29,1618508100,2968366971320,7930660641,17,Lucky Shots Casino,LSC,1x Lottery Voucher every week,500000
24746,PRN,490.45,1618508100,7669340122655,15637353701,18,Performance Ribaldry,PRN,1x Erotic DVD every week,1000000
24747,BAG,420.81,1618508100,2883349277865,6851902944,27,Big Al's Gun Shop,BAG,1x Ammunition Pack,3000000
24748,TCB,896.7,1618508100,9534841683715,10633257147,2,Torn City Investments,TCB,a 10% Bank Interest Bonus,1500000
24749,SYM,739.56,1618508100,8772688450542,11862037496,16,Symbiotic Ltd.,SYM,1x Drug Pack every week,500000
24750,WSU,64.81,1618508100,2982613330858,46020881513,25,West Side University,WSU,a 10% Education Course Duration Reduction,1000000
25171,TSB,817.94,1618509000,9248979280261,11307650048,1,Torn & Shanghai Banking,TSB,"$50,000,000 every month",3000000
25172,SYM,737.16,1618509000,8743119174544,11860544759,16,Symbiotic Ltd.,SYM,1x Drug Pack every week,500000
25173,TGP,89.08,1618509000,1535068708826,17232473157,23,Tell Group Plc.,TGP,a Company Advertising Boost,2500000
25174,WSU,64.91,1618509000,2989956167749,46063105342,25,West Side University,WSU,a 10% Education Course Duration Reduction,1000000
25175,SYS,475.29,1618509000,2720671428813,5724234528,3,Syscore MFG,SYS,an Advanced Firewall,3000000
25176,IOU,142.31,1618509000,3587478276372,25208898014,5,Insured On Us,IOU,"$12,000,000 every month",3000000
25177,THS,329.24,1618509000,4258329612435,12933816099,7,Torn City Health Service,THS,1x Box of Medical Supplies every week,150000
25178,MCS,588.55,1618509000,11025236269746,18732879568,29,Mc Smoogle Corp,MCS,100 Energy every week,350000
25179,IIL,86.02,1618509000,1558981786245,18123480426,14,I Industries Ltd.,IIL,50% Coding Time Reduction,1000000
25180,PRN,491.43,1618509000,7684476334186,15636970340,18,Performance Ribaldry,PRN,1x Erotic DVD every week,1000000
25181,TCM,305.39,1618509000,541376294436,1772737465,20,Torn City Motors,TCM,10% Racing Skill Boost,1000000
25182,WLT,450.38,1618509000,13625671369306,30253722122,30,Wind Lines Travel,WLT,Private Jet Access,9000000
25183,CNC,671.43,1618509000,2992366415752,4456706456,10,Crude & Co,CNC,"$80,000,000 every month",7500000
25184,MSG,153.48,1618509000,1886533988147,12291725229,11,Messaging Inc.,MSG,Free Classified Advertising,300000
25185,FHG,568.93,1618509000,22080944351485,38811355266,15,Feathery Hotels Group,FHG,1x Feathery Hotel Coupon every week,2000000
25186,LSC,374.5,1618509000,2965918492726,7919675548,17,Lucky Shots Casino,LSC,1x Lottery Voucher every week,500000
25187,EWM,268.82,1618509000,1666020141214,6197530471,19,Eaglewood Mercenary,EWM,1x Box of Grenades every week,1000000
25188,EVL,370.89,1618509000,2069493588268,5579804223,28,Evil Ducks Candy Corp,EVL,1000 Happiness every week,100000
25189,TCB,897.47,1618509000,9557798470874,10649713607,2,Torn City Investments,TCB,a 10% Bank Interest Bonus,1500000
25190,YAZ,36.28,1618509000,1996976249723,55043446795,8,Yazoo,YAZ,Free Banner Advertising,1000000
25191,TCT,227.04,1618509000,421607992238,1856976710,9,The Torn City Times,TCT,"$1,000,000 every month",100000
25192,TCP,272.7,1618509000,1212396551220,4445898611,13,TC Media Productions,TCP,a Company Sales Boost,1000000
25193,HRG,208.87,1618509000,8835221155537,42300096498,22,Home Retail Group,HRG,1x Random Property,10000000
25194,BAG,419.74,1618509000,2874554337093,6848416489,27,Big Al's Gun Shop,BAG,1x Ammunition Pack,3000000
25195,TCC,302.24,1618509000,1538489310955,5090290203,31,Torn City Clothing,TCC,1x Clothing Cache,7500000
25196,LAG,301.1,1618509000,1832398253119,6085680017,4,Legal Authorities Group,LAG,1x Lawyer Business Card every week,750000
25197,GRN,216.62,1618509000,1684941750804,7778329567,6,Grain,GRN,"$4,000,000 every month",500000
25198,TMI,153.13,1618509000,5351224188830,34945629131,12,TC Music Industries,TMI,"$25,000,000 every month",6000000
25199,ELT,181.66,1618509000,1118569984185,6157491931,21,Empty Lunchbox Traders,ELT,10% Home Upgrade Discount,5000000
25200,IST,315.36,1618509000,266412663140,844789013,26,International School TC,IST,Free Education Courses,100000
25621,YAZ,36.28,1618509900,1996977284537,55043475318,8,Yazoo,YAZ,Free Banner Advertising,1000000
25622,CNC,672.07,1618509900,2995198041731,4456675706,10,Crude & Co,CNC,"$80,000,000 every month",7500000
25623,TCP,272.21,1618509900,1209948933406,4444909935,13,TC Media Productions,TCP,a Company Sales Boost,1000000
25624,TGP,89.4,1618509900,1539813480042,17223864430,23,Tell Group Plc.,TGP,a Company Advertising Boost,2500000
25625,IST,315.32,1618509900,266294907539,844522731,26,International School TC,IST,Free Education Courses,100000
25626,BAG,420.09,1618509900,2877675851155,6850141282,27,Big Al's Gun Shop,BAG,1x Ammunition Pack,3000000
25627,LSC,374.55,1618509900,2967124946895,7921839399,17,Lucky Shots Casino,LSC,1x Lottery Voucher every week,500000
25628,WSU,64.98,1618509900,2948596069428,45376978600,25,West Side University,WSU,a 10% Education Course Duration Reduction,1000000
25629,SYS,477.19,1618509900,2731549574052,5724238928,3,Syscore MFG,SYS,an Advanced Firewall,3000000
25630,LAG,301.16,1618509900,1832763393920,6085680017,4,Legal Authorities Group,LAG,1x Lawyer Business Card every week,750000
25631,TCT,227.47,1618509900,422569156703,1857691813,9,The Torn City Times,TCT,"$1,000,000 every month",100000
25632,EVL,371.75,1618509900,2189865680003,5890694499,28,Evil Ducks Candy Corp,EVL,1000 Happiness every week,100000
25633,MCS,588.6,1618509900,11026373037136,18733219567,29,Mc Smoogle Corp,MCS,100 Energy every week,350000
25634,WLT,448.95,1618509900,13446086566775,29950075881,30,Wind Lines Travel,WLT,Private Jet Access,9000000
25635,GRN,216.77,1618509900,1683817385924,7767760234,6,Grain,GRN,"$4,000,000 every month",500000
25636,IIL,85.92,1618509900,1556700096078,18118017878,14,I Industries Ltd.,IIL,50% Coding Time Reduction,1000000
25637,PRN,491.81,1618509900,7690558313680,15637254862,18,Performance Ribaldry,PRN,1x Erotic DVD every week,1000000
25638,HRG,208.84,1618509900,8835728102524,42308600376,22,Home Retail Group,HRG,1x Random Property,10000000
25639,TCC,302.43,1618509900,1539456466093,5090290203,31,Torn City Clothing,TCC,1x Clothing Cache,7500000
25640,IOU,142.46,1618509900,3596057539792,25242577143,5,Insured On Us,IOU,"$12,000,000 every month",3000000
25641,MSG,153.58,1618509900,2104936420288,13705797762,11,Messaging Inc.,MSG,Free Classified Advertising,300000
25642,TMI,152.9,1618509900,5343407873001,34947075690,12,TC Music Industries,TMI,"$25,000,000 every month",6000000
25643,FHG,569.04,1618509900,22090191045227,38820102357,15,Feathery Hotels Group,FHG,1x Feathery Hotel Coupon every week,2000000
25644,TCB,897.01,1618509900,9815524502242,10942491725,2,Torn City Investments,TCB,a 10% Bank Interest Bonus,1500000
25645,SYM,736.53,1618509900,8741275136221,11868186138,16,Symbiotic Ltd.,SYM,1x Drug Pack every week,500000
25646,TSB,817.58,1618509900,9244908526244,11307650048,1,Torn & Shanghai Banking,TSB,"$50,000,000 every month",3000000
25647,THS,329.06,1618509900,3974753746101,12079115499,7,Torn City Health Service,THS,1x Box of Medical Supplies every week,150000
25648,EWM,268.94,1618509900,1667032946235,6198531071,19,Eaglewood Mercenary,EWM,1x Box of Grenades every week,1000000
25649,TCM,306.12,1618509900,542670392786,1772737465,20,Torn City Motors,TCM,10% Racing Skill Boost,1000000
25650,ELT,181.57,1618509900,1118015809912,6157491931,21,Empty Lunchbox Traders,ELT,10% Home Upgrade Discount,5000000
26071,CNC,670.5,1618510800,2988209434748,4456688195,10,Crude & Co,CNC,"$80,000,000 every month",7500000
26072,SYM,737.12,1618510800,8742612661498,11860501223,16,Symbiotic Ltd.,SYM,1x Drug Pack every week,500000
26073,ELT,181.58,1618510800,1118077384831,6157491931,21,Empty Lunchbox Traders,ELT,10% Home Upgrade Discount,5000000
26074,BAG,419.89,1618510800,2875543175852,6848324980,27,Big Al's Gun Shop,BAG,1x Ammunition Pack,3000000
26075,TCT,227.32,1618510800,422254836878,1857534915,9,The Torn City Times,TCT,"$1,000,000 every month",100000
26076,TCM,306.74,1618510800,543770271281,1772740012,20,Torn City Motors,TCM,10% Racing Skill Boost,1000000
26077,LSC,374.26,1618510800,2959566131656,7907781039,17,Lucky Shots Casino,LSC,1x Lottery Voucher every week,500000
26078,PRN,492.11,1618510800,7694567129429,15635868260,18,Performance Ribaldry,PRN,1x Erotic DVD every week,1000000
26079,MCS,588.57,1618510800,11019297737175,18722153248,29,Mc Smoogle Corp,MCS,100 Energy every week,350000
26080,IOU,142.92,1618510800,3589894546617,25118209814,5,Insured On Us,IOU,"$12,000,000 every month",3000000
26081,MSG,154.44,1618510800,1898408768925,12292209071,11,Messaging Inc.,MSG,Free Classified Advertising,300000
26082,IIL,86.05,1618510800,1558444874757,18110922426,14,I Industries Ltd.,IIL,50% Coding Time Reduction,1000000
26083,WLT,448.83,1618510800,13566491383704,30226347133,30,Wind Lines Travel,WLT,Private Jet Access,9000000
26084,TSB,816.87,1618510800,9236880094710,11307650048,1,Torn & Shanghai Banking,TSB,"$50,000,000 every month",3000000
26085,TCB,894.13,1618510800,9771155571351,10928115119,2,Torn City Investments,TCB,a 10% Bank Interest Bonus,1500000
26086,TCP,271.86,1618510800,1208278740392,4444488856,13,TC Media Productions,TCP,a Company Sales Boost,1000000
26087,TGP,89.68,1618510800,1544853686393,17226289991,23,Tell Group Plc.,TGP,a Company Advertising Boost,2500000
26088,WSU,64.98,1618510800,2933212053583,45140228587,25,West Side University,WSU,a 10% Education Course Duration Reduction,1000000
26089,THS,329.61,1618510800,3979564510025,12073555141,7,Torn City Health Service,THS,1x Box of Medical Supplies every week,150000
26090,YAZ,36.28,1618510800,1997003300852,55044192416,8,Yazoo,YAZ,Free Banner Advertising,1000000
26091,HRG,209.1,1618510800,8861352224288,42378537658,22,Home Retail Group,HRG,1x Random Property,10000000
26092,LAG,301.32,1618510800,1833739633810,6085688417,4,Legal Authorities Group,LAG,1x Lawyer Business Card every week,750000
26093,FHG,570.17,1618510800,22135205420733,38822115195,15,Feathery Hotels Group,FHG,1x Feathery Hotel Coupon every week,2000000
26094,EVL,371.34,1618510800,2072869381479,5582133305,28,Evil Ducks Candy Corp,EVL,1000 Happiness every week,100000
26095,EWM,269.02,1618510800,1667796108699,6199524603,19,Eaglewood Mercenary,EWM,1x Box of Grenades every week,1000000
26096,IST,316.77,1618510800,267520859920,844527133,26,International School TC,IST,Free Education Courses,100000
26097,TCC,302.37,1618510800,1539327769432,5090874655,31,Torn City Clothing,TCC,1x Clothing Cache,7500000
26098,SYS,476.14,1618510800,2726967424143,5727238678,3,Syscore MFG,SYS,an Advanced Firewall,3000000
26099,GRN,216.88,1618510800,1685513514828,7771641068,6,Grain,GRN,"$4,000,000 every month",500000
26100,TMI,153.19,1618510800,5353560349986,34947192049,12,TC Music Industries,TMI,"$25,000,000 every month",6000000
26521,LAG,301.35,1618511700,1834573289822,6087848979,4,Legal Authorities Group,LAG,1x Lawyer Business Card every week,750000
26522,YAZ,36.25,1618511700,1993812505513,55001724290,8,Yazoo,YAZ,Free Banner Advertising,1000000
26523,IIL,85.88,1618511700,1555452035181,18111924024,14,I Industries Ltd.,IIL,50% Coding Time Reduction,1000000
26524,ELT,181.45,1618511700,1116575699714,6153627444,21,Empty Lunchbox Traders,ELT,10% Home Upgrade Discount,5000000
26525,MCS,587.98,1618511700,11000134761026,18708348517,29,Mc Smoogle Corp,MCS,100 Energy every week,350000
26526,IOU,143.32,1618511700,3600043480969,25118919069,5,Insured On Us,IOU,"$12,000,000 every month",3000000
26527,FHG,571.3,1618511700,22185840046007,38833957721,15,Feathery Hotels Group,FHG,1x Feathery Hotel Coupon every week,2000000
26528,LSC,374.6,1618511700,2962452623698,7908309193,17,Lucky Shots Casino,LSC,1x Lottery Voucher every week,500000
26529,WSU,64.86,1618511700,2923308565748,45071054051,25,West Side University,WSU,a 10% Education Course Duration Reduction,1000000
26530,EVL,371.59,1618511700,2076405072546,5587892765,28,Evil Ducks Candy Corp,EVL,1000 Happiness every week,100000
26531,TCB,895.54,1618511700,9785901118241,10927374677,2,Torn City Investments,TCB,a 10% Bank Interest Bonus,1500000
26532,TMI,153.07,1618511700,5349407730059,34947460182,12,TC Music Industries,TMI,"$25,000,000 every month",6000000
26533,HRG,209.16,1618511700,8863910973681,42378614332,22,Home Retail Group,HRG,1x Random Property,10000000
26534,GRN,217.23,1618511700,1688552892103,7773110952,6,Grain,GRN,"$4,000,000 every month",500000
26535,EWM,269.03,1618511700,1667858130848,6199524703,19,Eaglewood Mercenary,EWM,1x Box of Grenades every week,1000000
26536,TCM,306.48,1618511700,548930086841,1791079636,20,Torn City Motors,TCM,10% Racing Skill Boost,1000000
26537,TCC,302.43,1618511700,1540832822604,5094841195,31,Torn City Clothing,TCC,1x Clothing Cache,7500000
26538,CNC,671.43,1618511700,2995865222711,4461917434,10,Crude & Co,CNC,"$80,000,000 every month",7500000
26539,TCP,272.05,1618511700,1209123696567,4444490706,13,TC Media Productions,TCP,a Company Sales Boost,1000000
26540,PRN,492.47,1618511700,7700196140989,15635868461,18,Performance Ribaldry,PRN,1x Erotic DVD every week,1000000
26541,TGP,89.3,1618511700,1538307696107,17226289990,23,Tell Group Plc.,TGP,a Company Advertising Boost,2500000
26542,BAG,419.15,1618511700,2870475457282,6848325080,27,Big Al's Gun Shop,BAG,1x Ammunition Pack,3000000
26543,SYS,474.9,1618511700,2719865909852,5727239229,3,Syscore MFG,SYS,an Advanced Firewall,3000000
26544,TCT,227.74,1618511700,422999871508,1857380660,9,The Torn City Times,TCT,"$1,000,000 every month",100000
26545,MSG,153.31,1618511700,2089851384369,13631539915,11,Messaging Inc.,MSG,Free Classified Advertising,300000
26546,IST,316.08,1618511700,266887094652,844365650,26,International School TC,IST,Free Education Courses,100000
26547,TSB,815.85,1618511700,9225349980935,11307654570,1,Torn & Shanghai Banking,TSB,"$50,000,000 every month",3000000
26548,THS,328.7,1618511700,3969561188889,12076547578,7,Torn City Health Service,THS,1x Box of Medical Supplies every week,150000
26549,SYM,737.65,1618511700,8811253529012,11945032914,16,Symbiotic Ltd.,SYM,1x Drug Pack every week,500000
26550,WLT,449.36,1618511700,13584665424945,30231140789,30,Wind Lines Travel,WLT,Private Jet Access,9000000
26971,TCM,307,1618512600,544474250934,1773531762,20,Torn City Motors,TCM,10% Racing Skill Boost,1000000
26972,HRG,209.03,1618512600,8858416773251,42378686185,22,Home Retail Group,HRG,1x Random Property,10000000
26973,BAG,417.63,1618512600,2859988323980,6848139080,27,Big Al's Gun Shop,BAG,1x Ammunition Pack,3000000
